nombre_director,cantidad_peliculas,rating_promedio,desviacion_rating,coeficiente_variacion,presupuesto_promedio,roi_promedio,primer_pelicula,ultima_pelicula
Hayao Miyazaki,4,8.05,0.37,0.046,26794424.75,9.66,1997,2008
Sergio Leone,4,8.0,0.27,0.034,9100000.0,26.19,1964,1984
Christopher Nolan,8,7.8,0.48,0.062,125625000.0,3.89,2000,2014
Quentin Tarantino,8,7.78,0.3,0.039,36900000.0,8.22,1992,2015
Pete Docter,3,7.73,0.25,0.032,155000000.0,4.67,2001,2015
Stanley Kubrick,6,7.68,0.4,0.052,18216666.67,3.84,1962,1999
Denis Villeneuve,3,7.67,0.4,0.052,27600000.0,2.17,2010,2015
Miloš Forman,3,7.63,0.67,0.088,34333333.33,13.26,1975,1999
Frank Capra,5,7.62,0.36,0.047,1909947.2,5.9,1934,1961
Billy Wilder,4,7.6,0.56,0.074,2783462.0,8.6,1945,1974
Frank Darabont,4,7.5,0.99,0.132,43750000.0,2.39,1994,2007
Elia Kazan,3,7.47,0.61,0.082,1570000.0,6.3,1947,1954
David Lean,4,7.45,0.4,0.054,9250000.0,7.33,1957,1984
Peter Weir,4,7.45,0.59,0.079,59600000.0,6.48,1985,2003
David Lynch,5,7.44,0.55,0.074,14002000.0,176.83,1977,2001
Alfonso Cuarón,4,7.42,0.19,0.026,79000000.0,5.14,2001,2013
Wes Anderson,7,7.41,0.38,0.051,24714285.71,2.48,1996,2014
Joss Whedon,3,7.37,0.06,0.008,179666666.67,4.31,2005,2015
David Fincher,10,7.34,0.66,0.09,65000000.0,3.88,1992,2014
James Cameron,7,7.33,0.33,0.045,106700000.0,7.56,1984,2009
