genero,cantidad_peliculas,roi_promedio,roi_mediano,coeficiente_variacion
Comedy,1110,7663.07,2.3,33.29
Drama,1441,5908.02,2.06,37.9
Horror,332,3077.42,2.89,17.83
Thriller,935,1074.9,2.17,30.42
Documentary,38,160.11,3.32,5.4
Mystery,265,67.76,2.13,12.26
Music,111,6.44,3.12,2.22
Animation,188,6.09,2.79,4.02
Science Fiction,431,5.93,2.23,6.11
Fantasy,342,5.82,2.23,6.62
Family,365,5.16,2.54,3.54
Romance,574,5.09,2.38,2.13
War,120,4.9,2.05,2.56
Western,57,4.9,1.8,2.33
Adventure,661,4.46,2.39,2.69
Crime,521,4.24,2.0,5.3
History,145,4.04,1.89,1.83
Action,918,3.58,2.16,2.8
Foreign,5,0.46,0.49,0.85
